time_UTC  Vup  Vnorth  Veast  Vdown
690468394.870  -0.00901559  -0.0122526  0.00211819  0.00901559
690468394.926  -0.0220005  -0.00693155  -0.017634  0.0220005
690468394.982  0.0709551  -0.0126954  0.0116389  -0.0709551
690468395.038  -0.0021832  -0.0315089  -0.0294192  0.0021832
690468395.094  0.00342438  -0.00310207  0.0406942  -0.00342438
690468395.150  0.0127044  0.0102007  -0.0195787  -0.0127044
690468395.206  -0.035259  0.0146609  -0.0159279  0.035259
690468395.262  0.00119986  0.0278007  0.0193001  -0.00119986
690468395.318  -0.0387225  0.0148149  -0.00397915  0.0387225
690468395.374  0.0313776  -0.0244764  0.0284452  -0.0313776
690468395.430  -0.019955  -0.0202518  -0.0463117  0.019955
690468395.486  0.00732214  0.00875536  0.00226393  -0.00732214
690468395.542  0.0297477  -0.000311706  0.0145904  -0.0297477
690468395.598  -0.0204691  -0.00710419  0.00677737  0.0204691
690468395.654  0.00887847  0.0326157  0.0112343  -0.00887847
690468395.710  0.040089  -0.0574978  -0.0157705  -0.040089
690468395.766  -0.0858062  0.0475896  2.50827e-05  0.0858062
690468395.822  0.0409982  -0.0134692  0.00741709  -0.0409982
690468395.878  -0.0171161  0.0139961  0.0192581  0.0171161
690468395.934  0.00482784  0.00292985  -0.0301426  -0.00482784
690468395.990  0.0638901  -0.0448286  0.0163174  -0.0638901
690468396.046  -0.0440007  0.0362573  -0.0229986  0.0440007
690468396.102  -0.012938  0.00752592  0.0069955  0.012938
690468396.158  -0.0225501  -0.0263234  0.0202076  0.0225501
690468396.214  0.0140664  -0.00633321  -0.0180929  -0.0140664
690468396.270  0.00699823  -0.00124435  -0.00173855  -0.00699823
690468396.326  0.00350828  0.0294646  -0.00538153  -0.00350828
690468396.382  0.0206014  -0.0309011  0.00658292  -0.0206014
690468396.438  -0.0214348  -0.00410227  0.0244712  0.0214348
690468396.494  0.0251087  0.00119727  0.00992428  -0.0251087
690468396.550  -0.000278394  -0.011725  -0.0370646  0.000278394
690468396.606  -0.0142271  0.00329225  -0.0385438  0.0142271
690468396.662  0.033917  0.00857357  0.0558237  -0.033917
690468396.718  -0.0493021  0.0140041  -0.000187059  0.0493021
690468396.774  0.0216667  -0.0136512  -0.00965314  -0.0216667
690468396.830  0.0117235  -0.0290807  -0.0353629  -0.0117235
690468396.886  -0.0307474  0.0425889  0.0124494  0.0307474
